Word,Clue
Hausen,Mehrere Gebäude
Apfel,Beliebte Frucht
Wasser,Farblos und lebensnotwendig
Mutter,Elternteil
Vater,Elternteil
Blume,Pflanze mit Blüten
Tisch,Möbelstück
Stuhl,Sitzgelegenheit
Brot,Grundnahrungsmittel
Milch,Getränk vom Tier
Handy,Mobiles Telefon
Boden,Untergrund
Hafen,Ort für Schiffe
Licht,Gegenteil von Dunkel
Sonne,Stern unseres Systems
Wolke,Am Himmel schwebend
Regen,Fällt vom Himmel
Stein,Harter Naturstoff
Baum,Holzpflanze
Kleid,Damenbekleidung
Fisch,Wassertier
Vogel,Gefiedertes Tier
Auto,Kraftfahrzeug
Zuges,Bewegung oder Spielphase
Garten,Grünfläche
Farbe,Rot oder Blau
Leben,Gegenteil von Tod
Liebe,Starkes Gefühl
Arbeit,Berufliche Tätigkeit
Spiel,Freiwillige Beschäftigung
Blick,Augenbewegung
Zeit,Was vergeht
Tag,24 Stunden
Nacht,Dunkle Tageszeit
Herz,Organ oder Gefühl
Kopf,Oberster Körperteil
Arm,Gliedmaß
Beine,Unterkörperglieder
Bauch,Körpermitte
Hunde,Haustiere
Katzen,Haustiere
Berge,Erhebungen
Fluss,Natürliches Gewässer
Meer,Großes Gewässer
Land,Staat oder Boden
Stadt,Gemeindeform
Dorf,Kleine Gemeinde
Fenster,Öffnung im Haus
Tür,Ein- oder Ausgang
Schuh,Bekleidung für den Fuß
Angst,Starkes Gefühl
Freude,Positive Emotion
Trauer,Reaktion auf Verlust
Zweck,Ziel
Wert,Bedeutung oder Preis
Recht,Juristische Ordnung
Pflicht,Verantwortung
Macht,Einfluss
Glück,Günstiger Zustand
Hoffe,Erwarte positiv
Zweig,Teil eines Baumes
Kreis,Geometrische Form
Fläche,Ausdehnung
Tiefe,Gegenteil von Höhe
Höhe,Vertikale Ausdehnung
Rolle,Aufgabe
Fahrt,Reise
Pfand,Rückgabeversprechen
Frist,Zeitraum
Lager,Aufbewahrungsort
Quelle,Ursprung
Ziel,Absicht
Pfote,Tierfuß
Küste,Land am Meer
Insel,Von Wasser umgeben
Ebene,Flaches Gebiet
Menge,Anzahl
Strom,Elektrische Energie
Signal,Zeichen
Pfahl,Holz- oder Metallstange
Stufe,Treppenabschnitt
Druck,Kraft pro Fläche
Kraft,Energie
Tempo,Geschwindigkeit
Bogen,Gekrümmte Linie
Winkel,Geometrischer Begriff
Linse,Optisches Element
Formen,Gestalten
Lehre,Wissensgebiet
These,Behauptung
Bande,Gruppe
Spann,Ausdehnung
Glaube,Überzeugung
Fokus,Mittelpunkt
Moral,Wertvorstellung
Logik,Schlusslehre
Phase,Abschnitt
Krise,Schwierige Lage
Raten,Schätzen
Zunft,Berufsverband
Kluft,Spaltung
Chiff,Geheimzeichen
Mythe,Erzählung
Odem,Atem
Ethik,Moralphilosophie
Dogma,Fester Lehrsatz
Nimbus,Aura
Ratio,Vernunft
Axiom,Grundannahme
Kanon,Regelwerk
Matrix,Struktur
Zäsur,Einschnitt
Index,Verzeichnis
Relikt,Überrest
Opfer,Leidtragender
Trakt,Abschnitt
Sphäre,Bereich
Konus,Geometrischer Körper
Modus,Art und Weise
Tonus,Grundspannung
Zyklus,Regelmäßige Abfolge
Parat,Bereit
Vigor,Energie
Idyll,Friedliche Szene
Kolle,Sammlung
Glyph,Zeichen
Orbit,Umlaufbahn
Prosa,Ungebundene Rede
Skala,Maßstab
Dosis,Menge eines Mittels
Fluid,Flüssigkeit
Fazit,Schlussfolgerung
Komet,Himmelskörper
Kranz,Ringförmiges Gebilde
Magma,Gesteinsschmelze
Delta,Flussmündung
Sigma,Griechischer Buchstabe
Omega,Letzter Buchstabe
Furie,Zornige Gestalt
Nexus,Verbindung
Chora,Raumbegriff
Ritus,Zeremonie
Amigo,Freund (span.)
Quota,Anteil
Utopa,Idealer Ort
